0,1,2,3,4,5,6
MICS,MDG,Indicator,Value,,,
Topic     Indicator Number,Indicator Number,,,,,
CHILD MORTALITY,,,,,,
Child mortality,1,13,Under-five mortality rate Infant mortality rate,111,per thousand,
,2,14,,71,per thousand,
NUTRITION,,,,,,
Nutritional,6,4,Underweight prevalence,17.8,percent,
status,7,,Stunting prevalence,22.4,percent,
,8,,Wasting prevalence,5.4,percent,
Breastfeeding,45,,Timely initiation of breast feeding,35.2,percent,
,15,, Exclusive breastfeeding rate ,54.4,percent,
,16,,Continued breastfeeding rate,,,
,,,at 12-15 months,94.6,percent,
,,,at 20-23 months,56.1,percent,
,17,,Timely complementary feeding rate,58.7,percent,
,18,,Frequency of complementary feeding,49.5,percent,
,19,,Adequately fed infants,52.1,percent,
Salt iodization,41,,Iodized salt consumption,32.4,percent,
Vitamin A,42,,Vitamin A supplementation (under-fives),60.2,percent,
,43,,Vitamin A supplementation (post-partum mothers),54.5,percent,
Low birth,9,,Low birth weight infants,9.1,percent,
weight,10,,Infants weighed at birth,36.1,percent,
CHILD HEALTH,,,,,,
Immunization,25,,Tuberculosis immunization coverage,94.2,percent,
,26,,Polio immunization cov erage,80.1,percent,
,27,,DPT immunization coverage,81.4,percent,
,28,15,Measles immunization cov erage,77.7,percent,
,31,,Fully immunized children,64.4,percent,
,29,,Hepatitis B immunization coverage,81.4,percent,
,30,,Yellow fever immunization coverage,76.7,percent,
Tetanus toxoid,32,,Neonatal tetanus protection,77.1,percent,
Care of illness,33,,Use of oral rehydration therapy (ORT),37,percent,
,34,,Home management of diarrhoea,19,percent,
,35,,"Received ORT or increased fluids, and continued feeding",28.6,percent,
,,,,,,
,23,,Care seeking for suspected pneumonia,33.6,percent,
,22,,Antibiotic treatment of sus pected pneumonia,32.9,percent,
Solid fuel use,24,29,Solid fuels,85.6,percent,
Malaria,36,,Household availability of insecticide-treated nets,18.7,percent,
,,,(ITNs),,,
,37,22,Under-fives sleeping under insecticide-treated nets,21.8,percent,
,38,,Under-fives sleeping under mosquito nets,32.6,percent,
,39,22,Antimalarial treatment (under-fives),48.3,percent,
,40,,Intermittent preventive malaria treatment (pregnant women),27.5,percent,
,,,,,,
Topic,MICS,MDG,Indicator,Value,,
,Indicator Number,Indicator Number,,,,
Source and cost of supplies,96,,Source of supplies (from public sources),,,
,,,Insecticide,68.3,percent,
,,,treated nets,47.8,percent,
,97,,Antimalarials,,,
,,,Cost of supplies (median costs),,,
,,,Insecticide treated nets,,,
,,,public sources,25000, GHC,
,,,private sources,30000, GHC,
,,,Antimalarial,,,
,,,public sources,25042, GHC,
,,,private sources,10000, GHC,
ENVIRONMENT,,,,,,
Water and,11,30,Use of improved drinking water sources,78.1,percent,
Sanitation,13,,Water treatment,3.3,percent,
,12,31,Use of improved sanitation facilities,60.7,percent,
,14,,Disposal of child's faeces,43.7,percent,
REPRODUCTIVE HEALTH,,,,,,
