0,1,2,3,4,5,6
NUTRITION,,,,,,
,6,4,Underweight prevalence (moderate and severe) (severe),7.6,7.9,percent
,,,Stunting prevalence (moderate and severe) (severe),,,
,,,Wasting prevalence (moderate and severe) (severe),,,
,,,Timely initiation of breastfeeding Exclusive breastfeeding rate Continued breastfeeding rate,,,
,,,at 12-15 months,,,
,,,at 20-23 months,,,
,,,Timely complementary feeding rate Frequency of complementary feeding Adequately fed infants,,,
,,,Iodized salt consumption,,,
,,,Vitamin A supplementation (under-fives) Vitamin A supplementation (post-partum mothers),,,
,,,Low birth weight infants Infants weighed at birth,,,
,,,1.4,1.6,percent,
Nutritional,7,,21.4,13.1,percent,
status,,,7.5,3.9,,
,8,,4.8,4.9,percent,
,,,1.2,1.2,,
,45,,30.6,15.2,percent,
,15,,25.1,11.8,percent,
,,,,,percent,
Breastfeeding,16,,67.6,49.6,percent percent,
,,,35.7,32.4,,
,17,,51,22,percent,
,18,,38,15.2,percent,
,19,,31.8,13.6,percent,
Salt iodization,41,,28.4,56.8,percent,
,42,,2,2.9,percent,
Vitamin A,43,,16.1,11.2,percent,
Low birth,9,,14.8,14.5,percent,
weight,10,,44.9,43.2,percent,
CHILD HEALTH,,,,,,
,1,13,Under-five mortality rate,41,40,per thousand
,,Child mortality,7,7,per thousand,
Child mortality,2,14,Infant mortality rate,35,34,per thousand
,,,Post neonatal mortality,12,11,per thousand
,,,Neonatal mortality,23,23,per thousand
,25,,Tuberculosis immunization coverage,91.4,96.6,percent
,26,,Polio immunization coverage,57,69.2,percent
,27,,DPT immunization coverage,52.8,62.9,percent
,28,15,Measles or MMR immunization coverage,65.3,71.2,percent
,29,,Hepatitis B immunization coverage,49.4,72.7,percent
,31,,Fully immunized children,38.5,47,percent
Tetanus toxoid 32,,Neonatal tetanus protection,61.4,59.4,percent,
,33,,Use of oral rehydration therapy (ORT),30.7,26.5,percent
,34,,Home management of diarrhoea,15.3,30.4,percent
,1,13,Under-five mortality rate,41,40,per thousand
,,Child mortality,7,7,per thousand,
Child mortality,2,14,Infant mortality rate,35,34,per thousand
,,,Post neonatal mortality,12,11,per thousand
,,,Neonatal mortality,23,23,per thousand
,25,,Tuberculosis immunization coverage,91.4,96.6,percent
,26,,Polio immunization coverage,57,69.2,percent
,27,,DPT immunization coverage,52.8,62.9,percent
,28,15,Measles or MMR immunization coverage,65.3,71.2,percent
,29,,Hepatitis B immunization coverage,49.4,72.7,percent
,31,,Fully immunized children,38.5,47,percent
Tetanus toxoid 32,,Neonatal tetanus protection,61.4,59.4,percent,
,33,,Use of oral rehydration therapy (ORT),30.7,26.5,percent
,34,,Home management of diarrhoea,15.3,30.4,percent
Indicator,,,,,,
Topic number Indicator National Unit,,,,,,
MICS  MDG,,,,,,
Solid fuel use,24,29,Solid fuels,4.6,5.9,percent
ENVIRONMENT,,,,,,
,11,30,Use of improved drinking water sources,79.1,96.9,percent
Water and,13,,Water treatment,9.2,3.3,percent
Sanitation,12,31,Use of improved sanitation facilities,92.3,97.7,percent
,14,,Disposal of child’s faeces,40.7,48.6,percent
REPRODUCTIVE HEALTH,,,,,,
Contraception,21,19c,Contraceptive prevalence,49.8,58.2,percent
and unmet,98,,Unmet need for family planning,10.8,13.4,percent
need,99,,Demand satisfied for family planning,82.2,81.3,percent
,20,,Antenatal care,83.8,80.2,percent
,44,,Content of antenatal care,,,
,,,Blood test taken,65.9,67.4,percent
Maternal and,,,Blood pressure measured,76.2,74.2,percent
newborn health,,,Urine specimen taken,62.7,61.2,percent
,,,Weight measured,59.3,57.1,percent
,4,17,Skilled attendant at delivery,88.5,88.1,percent
,5,,Institutional deliveries,62.6,67.8,percent
CHILD DEVELOPMENT,,,,,,
,46,,Support for learning Father’s support for learning,46.4,45.4,percent percent
,47,,,54.9,54.2,
EDUCATION,,,,,,
,52,,Pre-school attendance,2.5,3.6,percent
,53,,School readiness,4.2,12.7,percent
,54,,Net intake rate in primary education (6 years),63.2,60.2,
,,,Net intake rate in primary education (7 years),82.1,87.5,percent
,55,6,Net primary school attendance rate,85.8,94.5,percent
,56,,Net secondary school attendance rate,40.1,52.5,percent
Education,57,7,Children reaching grade five,95.2,92.5,percent
,58,,Transition rate to secondary school,78.3,84.4,percent
,,,Primary completion rate (gross),80.9,114.3,percent
,59,7b,Primary completion rate (net),43.9,49,percent
,,,Gender parity index,,,
,61,9,Primary school,0.88,0.95,ratio
,,,Secondary school,0.75,0.96,ratio
Literacy,60,8,Adult literacy rate,65.6,64.2,percent
CHILD PROTECTION,,,,,,
Birth registration,62,,Birth registration,95,98.5,percent
,71,,Child labour,10.7,6.4,percent
Child labour,72,,Labourer students,61.5,79.7,percent
,73,,Student labourers,9.5,6.4,percent
Child discipline,74,,Any psychological/physical punishment,83.7,68.1,percent
Early marriage,67,,Marriage before age 15 Marriage before age 18,5.4,6.8,percent percent
,,,,22.6,26.1,
,68,,Young women aged 15-19 currently married,19,10,percent
Indicator,,,,,,
Topic number Indicator National Unit,,,,,,
MICS  MDG,,,,,,
Solid fuel use,24,29,Solid fuels,4.6,5.9,percent
ENVIRONMENT,,,,,,
,11,30,Use of improved drinking water sources,79.1,96.9,percent
Water and,13,,Water treatment,9.2,3.3,percent
Sanitation,12,31,Use of improved sanitation facilities,92.3,97.7,percent
,14,,Disposal of child’s faeces,40.7,48.6,percent
REPRODUCTIVE HEALTH,,,,,,
Contraception,21,19c,Contraceptive prevalence,49.8,58.2,percent
and unmet,98,,Unmet need for family planning,10.8,13.4,percent
need,99,,Demand satisfied for family planning,82.2,81.3,percent
,20,,Antenatal care,83.8,80.2,percent
,44,,Content of antenatal care,,,
,,,Blood test taken,65.9,67.4,percent
Maternal and,,,Blood pressure measured,76.2,74.2,percent
newborn health,,,Urine specimen taken,62.7,61.2,percent
,,,Weight measured,59.3,57.1,percent
,4,17,Skilled attendant at delivery,88.5,88.1,percent
,5,,Institutional deliveries,62.6,67.8,percent
CHILD DEVELOPMENT,,,,,,
,46,,Support for learning Father’s support for learning,46.4,45.4,percent percent
,47,,,54.9,54.2,
EDUCATION,,,,,,
,52,,Pre-school attendance,2.5,3.6,percent
,53,,School readiness,4.2,12.7,percent
,54,,Net intake rate in primary education (6 years),63.2,60.2,
,,,Net intake rate in primary education (7 years),82.1,87.5,percent
,55,6,Net primary school attendance rate,85.8,94.5,percent
,56,,Net secondary school attendance rate,40.1,52.5,percent
Education,57,7,Children reaching grade five,95.2,92.5,percent
,58,,Transition rate to secondary school,78.3,84.4,percent
,,,Primary completion rate (gross),80.9,114.3,percent
,59,7b,Primary completion rate (net),43.9,49,percent
,,,Gender parity index,,,
,61,9,Primary school,0.88,0.95,ratio
,,,Secondary school,0.75,0.96,ratio
Literacy,60,8,Adult literacy rate,65.6,64.2,percent
CHILD PROTECTION,,,,,,
Birth registration,62,,Birth registration,95,98.5,percent
,71,,Child labour,10.7,6.4,percent
Child labour,72,,Labourer students,61.5,79.7,percent
,73,,Student labourers,9.5,6.4,percent
Child discipline,74,,Any psychological/physical punishment,83.7,68.1,percent
Early marriage,67,,Marriage before age 15 Marriage before age 18,5.4,6.8,percent percent
,,,,22.6,26.1,
,68,,Young women aged 15-19 currently married,19,10,percent
Topic,Indicator number,Indicator,National,Kurdistan Region,Unit,
,MICS MDG,,,,,
,69,Spousal age difference Women aged 15-19,25.8,26.5,percent,
,,Women aged 20-24,,,,
,,Attitudes towards domestic violence Child disability,,,,
,,21.1,21.4,percent,,
Domestic violence,100,59.1,36.7,percent,,
Disability,101,14.8,18.9,percent,,
HIV/AIDS AND ORPHANED CHILDREN,,,,,,
,87,,Women who know where to be tested for HIV,6.1,3.4,percent
,88,,Women who have been tested for HIV,2.8,0.5,percent
Support to,75,,Prevalence of orphans,5.9,5.5,percent
orphaned,78,,Children’s living arrangements,2.4,1.5,percent
children,77,20,School attendance of orphans versus non-orphans,0.84,1.10,ratio
